"feature_no","loglik"
1,"-1940.240745"
2,"-2556.655737"
3,"-2422.489621"
4,"-2408.094877"
5,"-2596.544293"
6,"-2563.405864"
7,"-2599.118970"
8,"-2570.449059"
9,"-2591.973547"
10,"-2502.840088"
11,"-2437.224439"
12,"-2595.796720"
13,"-2553.148733"
14,"-2552.147900"
15,"-2599.225218"
16,"-2562.674390"
17,"-2593.349431"
18,"-2598.608135"
19,"-2590.898810"
20,"-2598.540741"
21,"-2592.750136"
22,"-2597.361433"
23,"-2597.600111"
24,"-2559.422618"
25,"-2589.174943"
26,"-2585.904855"
27,"-2574.675402"
28,"-2594.281107"
29,"-2595.120381"
30,"-2586.487857"
31,"-2593.475248"
32,"-2587.810631"
33,"-2589.852584"
34,"-2598.173803"
35,"-2593.894294"
36,"-2598.558748"
37,"-2593.847889"
38,"-2598.863409"
39,"-2516.394638"
40,"-2595.181922"
41,"-2570.206288"
42,"-2599.231295"
43,"-2599.245786"
44,"-2598.015999"
45,"-2507.725673"
46,"-2599.279236"
47,"-2598.700197"
48,"-2597.944078"
49,"-2594.237026"
